"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"_VertexTornadoMode","<size=13><b>  Tornado</b></size>","<size=13><b>Tornado </b></size>","<size=13><b>Tornado </b></size>","<サイズ= 13> <b>竜巻</b></size>","토네이도 모드","<size=13><b>旋转</b></size>",""
"_VertexTornadoMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道","Канал Маски"
"_VertexTornadoRadius","Radius","Radio","Radius","半径","반경","半径",""
"_VertexTornadoVerticalPull","Vertical Pull","Tirón vertical","Vertikaler Zug","垂直プル","수직 당김","垂直拉力",""
"_VertexTornadoFunnelShape","Funnel Shape","Forma del embudo","Trichterform","漏斗の形","깔때기 모양","漏斗形状",""
"_VertexTornadoIntensity","Spiral Intensity","Intensidad espiral","Spiralintensität","らせん強度","나선 강도","螺旋强度",""
"_VertexTornadoSpeed","Rotation Speed","Velocidad de rotación","Rotationsgeschwindigkeit","回転速度","회전 속도","旋转速度","Скорость Ротации"
"_VertexTornadoTopHeight","Top Height","Altura superior","Obere Höhe","上部の高さ","상단 높이","顶部高度",""
"_VertexTornadoBaseHeight","Bottom Height","Altura inferior","Bodenhöhe","底の高さ","하단 높이","底部高度",""
"s_start_VertexWind","Wind / Flag","Viento (Tipo bandera)","Wind / Flagge","風 /旗","버텍스 바람 (깃발)","风 / 旗帜",""
"_VertexWindEnabled","Enabled","Activado","Ermöglicht","有効になっています","바람 활성화","启用","Включено"
"_VertexWindMaskChannel","Mask Channel","Canal de la máscara","Maskenkanal","マスクチャネル","마스크 채널","遮罩通道","Канал Маски"
"_VertexWindPrimaryDirection","Direction","Dirección","Richtung","方向","주 방향","方向","Направление"
"_VertexWindPrimaryAmplitude","Amplitude","Amplitud","Amplitude","振幅","주 진폭","振幅",""
"_VertexWindPrimarySpeed","Speed","Velocidad","Geschwindigkeit","スピード","주 속도","速度","Скорость"
"_VertexWindPrimaryFrequency","Frequency","Frecuencia","Frequenz","頻度","주 빈도","频率",""
"_VertexWindDetailDirection","Direction","Dirección","Richtung","方向","디테일 방향","方向","Направление"
"_VertexWindDetailAmplitude","Amplitude","Amplitud","Amplitude","振幅","디테일 진폭","振幅","Амплитуда"
"_VertexWindDetailSpeed","Speed","Velocidad","Geschwindigkeit","スピード","디테일 속도","速度","Скорость"
"_VertexWindDetailFrequency","Frequency","Frecuencia","Frequenz","頻度","디테일 빈도","频率",""
"_VertexWindNoiseChannel","Noise Channel (from Basics Mask)","Canal del ruido (de la máscara básica)","Rauschkanal (von Grundlagenmaske)","ノイズチャネル（基本マスクから）","노이즈 채널","噪声通道 (来自基础遮罩)",""
"_VertexWindNoiseStrength","Noise Strength","Resistencia al ruido","Geräuschstärke","ノイズ強度","노이즈 강도","噪声强度",""
"_VertexWindNoiseScale","Noise Scale","Escala del ruido","Geräuschskala","ノイズスケール","노이즈 스케일","噪声缩放",""
"_VertexWindNoiseSpeed","Noise Speed","Velocidad del ruido","Geräuschgeschwindigkeit","ノイズ速度","노이즈 속도","噪声速度",""
"s_start_VertAL","Audio Link","AudioLink","Audio -Link","オーディオリンク","버텍스 오디오 링크","AudioLink","AudioLink"
"s_start_LocalTranslation","Local Translation","Traslación local","Lokale Übersetzung","ローカル翻訳","로컬 이동","本地位移",""
"s_start_LocalRotation","Local Rotation","Rotación local","Lokale Rotation","ローカル回転","로컬 회전","本地旋转",""
"s_start_ContinuousRotation","Continuous Rotation","Rotación continua","Kontinuierliche Rotation","連続回転","연속 회전","连续旋转",""
"s_start_VertexScale","Vertex Scale","Escala de los vértices","Scheitelpunktskala","頂点スケール","버텍스 스케일","顶点缩放",""
"s_start_WorldTranslation","World Translation","Traslación global","Weltübersetzung","ワールド変位","월드 이동","世界位移",""
"s_start_ALVertexHeight","Vertex Height","Altura de los vértices","Scheitelpunkthöhe","頂点の高さ","버텍스 높이","顶点高度",""
"s_start_vertexRoundingAL","Vertex Rounding","Redondeo de vértices","Scheitelpunktrundung","頂点の丸め","버텍스 라운딩","顶点圆角",""
"s_start_ALSpectrumMotion","Spectrum Motion","Movimiento del espectro","Spektrumbewegung","スペクトルモーション","스펙트럼 모션","频谱运动",""
"_VertexSpectrumMotion","Spectrum Motion","Movimiento del espectro","Spektrumbewegung","スペクトルモーション","스펙트럼 모션","频谱运动",""
"_VertexSpectrumUV","UV","UV","UV","UV","UV","UV","UV"
"_VertexSpectrumUVDirection","UV Direction","Dirección UV","UV -Richtung","UV方向","UV 방향","UV 方向",""
"_VertexSpectrumOffsetMin","Offset Min","Desplazamiento mínimo","Offset min","オフセット分","최소 오프셋","最小偏移",""
"_VertexSpectrumOffsetMax","Offset Max","Desplazamiento máximo","Offset max","最大オフセット","최대 오프셋","最大偏移",""
"m_start_vertexLookAt","LookAt","Orientación","LookAt","LookAt","버텍스 쳐다보기 (LookAt)","顶点注视 (LookAt)",""
"_VertexLookAtEnabled","Enabled","Activado","Ermöglicht","有効になっています","LookAt 활성화","启用","Включено"
"_LookAtMask","Look-At Mask","Máscara de orientación","Look-AT-Maske","見た目のマスク","마스크","注视遮罩",""
"_LookAtMaskPan","Outline Texture Pan","Barrido de la textura","Umrissen der Texturpfanne","テクスチャパンの輪郭","패닝","纹理平移",""
"_LookAtMaskUV","UV","UV","UV","UV","UV","UV","UV"
"s_start_LookAtRedMask","Controls (Red Mask)","Controles (máscara roja/R)","Steuerelemente (rote Maske)","コントロール（赤いマスク）","LookAt 빨강 마스크 설정","控制 (红遮罩)",""
"_LookAtRedMaskEnabled","Red Mask Enabled","Máscara roja activada","Rotmaske aktiviert","赤いマスクが有効になっています","빨강 마스크 활성화","启用红遮罩",""
"_LookAtRedAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha","Альфа"
"_LookAtRedTargetUp","Target Up Direction","Dirección superior del objetivo","Zielen Sie die Richtung","ターゲットアップ方向","타겟 위쪽 방향","目标向上方向",""
"_LookAtRedForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","前方向","전방 방향","前向方向",""
"_LookAtRedUpDirection","Up Direction","Dirección superior","Aufwärtsrichtung","上の方向","위쪽 방향","向上方向",""
"_LookAtRedPivotOffset","Pivot Position","Posición del pivote","Pivot -Position","ピボット位置","피벗 오프셋","枢轴位置",""
"_LookAtRedOriginOffset","View From Position","Posición de la vista","Ansicht von Position","位置からの表示","원점 오프셋","原点位置",""
"_LookAtRedDistanceFalloff","Distance Falloff","Atenuación por distancia","Distanzfunktion","距離フォールオフ","거리 감쇠","距离衰减",""
"_LookAtRedFoV","FoV Falloff","Atenuación por ángulo de visión","FOV FALLOFF","FOVフォールオフ","FOV 감쇠","FOV 衰减",""
"_LookAtRedMaxPitchAngle","Max Pitch (X)","Cabeceo máximo (Pitch en x)","Max Pitch (x)","マックスピッチ（x）","최대 피치 각도","最大俯仰 (X)",""
"_LookAtRedMaxYawAngle","Max Yaw (Y)","Guiñada máxima (Yaw en y)","Max Gier (y)","マックスヨー（Y）","최대 요 각도","最大偏航 (Y)",""
"_LookAtRedMaxRollAngle","Max Roll (Z)","Balanceo máximo (Roll en z)","Max Roll (Z)","マックスロール（Z）","최대 롤 각도","最大翻滚 (Z)",""
"s_start_LookAtVisibility","Visibility","Visibilidad","Sichtweite","可視性","LookAt 가시성","可见性","Видимость"
"_LookAtVisibilityEnabled","LookAt Visibility Enabled","Visibilidad activada","Die Sichtbarkeit von Lookat aktiviert","視認性を有効にします","가시성 활성화","启用可见性",""
"_LookAtVisibilityMode","Mode","Modo","Modus","モード","모드","模式","Режим"
"_LookAtVisibilityMirror","Mirror Visibility","Visibilidad en espejo","Spiegelssicht","ミラーの可視性","거울","镜像可见性",""
"_LookAtVisibilityVRCRegular","Normal (Outside Mirror/Camera)","Normal (Espejo exterior/Cámara)","Normal (Außenspiegel/Kamera)","通常（ミラー/カメラの外）","일반 (외부 거울/카메라)","正常 (外部镜像/摄像机)",""
"_LookAtVisibilityVRCMirrorVR","Mirror (VR)","Espejo (Modo VR)","Spiegel (VR)","ミラー（VR）","거울 (VR)","镜像 (VR)",""
"_LookAtVisibilityVRCMirrorDesktop","Mirror (Desktop)","Espejo (Modo escritorio)","Spiegel (Desktop)","ミラー（デスクトップ）","거울 (데스크톱)","镜像 (桌面)",""
"_LookAtVisibilityVRCCameraVR","Camera (VR)","Cámara (Modo VR)","Kamera (VR)","カメラ（VR）","카메라 (VR)","摄像机 (VR)",""
"_LookAtVisibilityVRCCameraDesktop","Camera (Desktop)","Cámara (Modo escritorio)","Kamera (Desktop)","カメラ（デスクトップ）","카메라 (데스크톱)","摄像机 (桌面)",""
"_LookAtVisibilityVRCCameraScreenshot","Screenshot","Captura de pantalla","Screenshot","スクリーンショット","스크린샷","截屏",""
"s_start_LookAtGreenMask","Controls (Green Mask)","Controles (máscara verde/G)","Kontrollen (grüne Maske)","コントロール（グリーンマスク）","LookAt 초록 마스크 설정","控制 (绿遮罩)",""
"_LookAtGreenMaskEnabled","Green Mask Enabled","Máscara roja activada","Grüne Maske aktiviert","グリーンマスクが有効になっています","초록 마스크 활성화","启用绿遮罩",""
"_LookAtGreenAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha","Альфа"
"_LookAtGreenTargetUp","Target Up Direction","Dirección superior del objetivo","Zielen Sie die Richtung","ターゲットアップ方向","타겟 위쪽 방향","目标向上方向",""
"_LookAtGreenForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","前方向","전방 방향","前向方向",""
"_LookAtGreenUpDirection","Up Direction","Dirección superior","Aufwärtsrichtung","上の方向","위쪽 방향","向上方向",""
"_LookAtGreenPivotOffset","Pivot Position","Posición del pivote","Pivot -Position","ピボット位置","피벗 오프셋","枢轴位置",""
"_LookAtGreenOriginOffset","View From Position","Posición de la vista","Ansicht von Position","位置からの表示","원점 오프셋","原点位置",""
"_LookAtGreenDistanceFalloff","Distance Falloff","Atenuación por distancia","Distanzfunktion","距離フォールオフ","거리 감쇠","距离衰减",""
"_LookAtGreenFoV","FoV Falloff","Atenuación por ángulo de visión","FOV FALLOFF","FOVフォールオフ","FOV 감쇠","FOV 衰减",""
"_LookAtGreenMaxPitchAngle","Max Pitch (X)","Cabeceo máximo (Pitch en x)","Max Pitch (x)","マックスピッチ（x）","최대 피치 각도","最大俯仰 (X)",""
"_LookAtGreenMaxYawAngle","Max Yaw (Y)","Guiñada máxima (Yaw en y)","Max Gier (y)","マックスヨー（Y）","최대 요 각도","最大偏航 (Y)",""
"_LookAtGreenMaxRollAngle","Max Roll (Z)","Balanceo máximo (Roll en z)","Max Roll (Z)","マックスロール（Z）","최대 롤 각도","最大翻滚 (Z)",""
"s_start_LookAtBlueMask","Controls (Blue Mask)","Controles (máscara azul/B)","Steuerelemente (blaue Maske)","コントロール（青いマスク）","LookAt 파랑 마스크 설정","控制 (蓝遮罩)",""
"_LookAtBlueMaskEnabled","Blue Mask Enabled","Máscara roja activada","Blaue Maske aktiviert","青いマスクが有効になっています","파랑 마스크 활성화","启用蓝遮罩",""
"_LookAtBlueAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha","Альфа"
"_LookAtBlueTargetUp","Target Up Direction","Dirección superior del objetivo","Zielen Sie die Richtung","ターゲットアップ方向","타겟 위쪽 방향","目标向上方向",""
"_LookAtBlueForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","前方向","전방 방향","前向方向",""
"_LookAtBlueUpDirection","Up Direction","Dirección superior","Aufwärtsrichtung","上の方向","위쪽 방향","向上方向",""
"_LookAtBluePivotOffset","Pivot Position","Posición del pivote","Pivot -Position","ピボット位置","피벗 오프셋","枢轴位置",""
"_LookAtBlueOriginOffset","View From Position","Posición de la vista","Ansicht von Position","位置からの表示","원점 오프셋","原点位置",""
"_LookAtBlueDistanceFalloff","Distance Falloff","Atenuación por distancia","Distanzfunktion","距離フォールオフ","거리 감쇠","距离衰减",""
"_LookAtBlueFoV","FoV Falloff","Atenuación por ángulo de visión","FOV FALLOFF","FOVフォールオフ","FOV 감쇠","FOV 衰减",""
"_LookAtBlueMaxPitchAngle","Max Pitch (X)","Cabeceo máximo (Pitch en x)","Max Pitch (x)","マックスピッチ（x）","최대 피치 각도","最大俯仰 (X)",""
"_LookAtBlueMaxYawAngle","Max Yaw (Y)","Guiñada máxima (Yaw en y)","Max Gier (y)","マックスヨー（Y）","최대 요 각도","最大偏航 (Y)",""
"_LookAtBlueMaxRollAngle","Max Roll (Z)","Balanceo máximo (Roll en z)","Max Roll (Z)","マックスロール（Z）","최대 롤 각도","最大翻滚 (Z)",""
"s_start_LookAtAlphaMask","Controls (Alpha Mask)","Controles (máscara alfa A)","Kontrollen (Alpha -Maske)","コントロール（アルファマスク）","LookAt 알파 마스크 설정","控制 (Alpha 遮罩)",""
"_LookAtAlphaMaskEnabled","Alpha Mask Enabled","Máscara roja activada","Alpha -Maske aktiviert","アルファマスクが有効になっています","알파 마스크 활성화","启用 Alpha 遮罩",""
"_LookAtAlphaAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha","Альфа"
"_LookAtAlphaTargetUp","Target Up Direction","Dirección superior del objetivo","Zielen Sie die Richtung","ターゲットアップ方向","타겟 위쪽 방향","目标向上方向",""
"_LookAtAlphaForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","前方向","전방 방향","前向方向",""
"_LookAtAlphaUpDirection","Up Direction","Dirección superior","Aufwärtsrichtung","上の方向","위쪽 방향","向上方向",""
"_LookAtAlphaPivotOffset","Pivot Position","Posición del pivote","Pivot -Position","ピボット位置","피벗 오프셋","枢轴位置",""
"_LookAtAlphaOriginOffset","View From Position","Posición de la vista","Ansicht von Position","位置からの表示","원점 오프셋","原点位置",""
